Bank_Number,Branch_Number,National_Clearing_Code,BIC,Bank_Name,Branch_Information,City,Physical_Address1,Physical_Address2,Physical_Address3,Physical_Address4,Post_Code,Location,Country_Name,POB_Number,POB_Location1,POB_Location2,POB_Location3,POB_Post_Code,POB_Country,STD,Phone,Fax,Retail,BIC_Plus_Indicator,Latest_Status
01,0078,010078,,ANZ Bank New Zealand,ANZ Retail 9,Wellington,215-229 Lambton Quay,,,,6001,,New Zealand,PO Box 1393,Wellington,,,6140,New Zealand,(04),0800 269 296,496-7360,,N,A
01,0079,010079,,ANZ Bank New Zealand,Palmerston North Trans PC,Palmerston North,Cnr The Square and Broadway Avenue,,,,,,New Zealand,Private Bag,Palmerston North,,,,New Zealand,(04),802-2700,802-2723,,N,A
01,0080,010080,,ANZ Bank New Zealand,ANZ Wealth,Auckland,23-29 Albert Street,,ANZ Centre,,,,New Zealand,PO Box 18,Auckland,,,1140,New Zealand,(04),0800 269 296,496-7360,,Y,A
01,0083,010083,,ANZ Bank New Zealand,ANZ Wealth,Auckland,23-29 Albert Street,,ANZ Centre,,,,New Zealand,PO Box 18,Auckland,,,1140,New Zealand,,0800 269 296,496-7360,,Y,A
01,0084,010084,,ANZ Bank New Zealand,Transaction Services,Wellington,49 Tory Street,Tower A,,,6011,,New Zealand,PO Box 146,Wellington,,,6011,New Zealand,(04),0800 287 248,0800 329 272,,Y,A
01,0085,010085,,ANZ Bank New Zealand,OSC Southern Zone TPC Wellington Support,Wellington,57-79 Vivian Street,,,,,,New Zealand,,,,,,New Zealand,(04),802-2800,802-2730,,Y,A
01,0088,010088,,ANZ Bank New Zealand,ANZ AS/400 Test,Wellington,Caltex Towers,Level 3,,,,,New Zealand,PO Box 1492,Wellington,,,,New Zealand,(04),802-2700,802-2723,,Y,A
01,0091,010091,,ANZ Bank New Zealand,Conversion Branch Exception,Wellington,57-79 Vivian St,Level 1,,,6001,,New Zealand,,,,,,New Zealand,(04),0800 269 296,470-5404,,Y,A
01,0092,010092,,ANZ Bank New Zealand,Personal Credit Management,Wellington,175 The Terrace,Level 8-11,,,6011,,New Zealand,PO Box 1425,Wellington,,,6011,New Zealand,(04),0800-623-333,470-5338,,Y,A
01,0102,010102,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,,R,Y,A
01,0107,010107,,ANZ Bank New Zealand,Credit Assessment,Auckland,107 Carlton Gore Road,"UDC House, Level 4",Newmarket,,,,New Zealand,PO Box 18,Shortland St,Auckland,,1140,New Zealand,,0800-623-333,470-5338,,Y,A
01,0113,010113,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,480-0902,R,Y,A
01,0121,010121,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,0630,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,479-3314,R,Y,A
01,0125,010125,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,424-6467,R,Y,A
01,0126,010126,,ANZ Bank New Zealand,ANZ Group Credit Cards,Auckland,521 Queen Street,4th Floor,,,,,New Zealand,PO Box 9886,Auckland,,,,New Zealand,(09),0800580000,522-3630,,Y,A
01,0129,010129,,ANZ Bank New Zealand,268 Queen Street,Auckland,268 Queen Street,,,,1010,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,302-9168,R,Y,A
01,0137,010137,,ANZ Bank New Zealand,Devonport,Auckland,6 Victoria Road,Devonport,,,0624,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,445-3973,R,Y,A
01,0141,010141,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 1393,Wellington,,,,New Zealand,(09),0800 269 296,412-7868,R,Y,A
01,0142,010142,,ANZ Bank New Zealand,424A St Lukes Mall,Auckland,Shop 753,Westfield Shopping Mall,80 St Lukes Rd,Mt Albert,,,New Zealand,PO Box 18,Shortland Street,,,1140,New Zealand,,0800 269 296,,R,Y,A
01,0143,010143,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,0629,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,443-3994,R,Y,A
01,0147,010147,,ANZ Bank New Zealand,ANZ Retail,,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,837-9389,R,Y,A
01,0154,010154,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,836-0132,R,Y,A
01,0161,010161,,ANZ Bank New Zealand,Sylvia Park,Auckland,286 Mount Wellington Highway,"Shop 44, Sylvia Park Mall",Mount Wellington,,1060,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,571-6759,R,Y,A
01,0165,010165,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,6011,,New Zealand,PO Box 1393,Wellington,,,6140,New Zealand,(04),0800 269 296,,R,Y,A
01,0170,010170,,ANZ Bank New Zealand,Howick,Auckland,87-89 Picton Street,Howick,,,2014,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,537-4242,R,Y,A
01,0171,010171,,ANZ Bank New Zealand,Royal Oak,Auckland,691 Manukau Road,Royal Oak Shopping Mall,,,1023,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,625-7367,R,Y,A
01,0178,010178,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,486-7106,R,Y,A
01,0182,010182,,ANZ Bank New Zealand,Glenfield Mall,Auckland,383 Glenfield Road,"Shop S220, Westfield",Glenfield,,0629,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,443-6810,R,Y,A
01,0183,010183,,ANZ Bank New Zealand,Stoddard Road,Auckland,22 Stoddard Road,Mt Roskill,,,1041,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,629-3280,R,Y,A
01,0186,010186,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,New Lynn,,6011,,New Zealand,PO Box 1393,Wellington,,,6140,New Zealand,,0800 269 296,,R,Y,A
01,0190,010190,,ANZ Bank New Zealand,Manukau,Auckland,Corner Cavendish and Lambie Drives,Manukau,,,2104,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,263 9241,R,Y,A
01,0194,010194,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,522-1920,R,Y,A
01,0202,010202,,ANZ Bank New Zealand,Newton,Auckland,312 Karangahape Road,Newton,,,1010,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,357-0573,R,Y,A
01,0204,010204,,ANZ Bank New Zealand,New Lynn,Auckland,584 Great North Road,Grey Lynn,,,1021,,New Zealand,PO Box 18,Shortland Street,Auckland,,1021,New Zealand,(09),0800 269 296,378-0819,R,Y,A
01,0205,010205,,ANZ Bank New Zealand,Mt Eden Village,Auckland,476 Mt Eden Road,Unit 1B,Mount Eden,,1024,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,638-0569,R,Y,A
01,0210,010210,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,634-5937,R,Y,A
01,0215,010215,,ANZ Bank New Zealand,Highbrook,Auckland,8 South Business Parade,East Tamaki,Manukau,,2023,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,274-1455,R,Y,A
01,0218,010218,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,270-2777,R,Y,A
01,0221,010221,,ANZ Bank New Zealand,Botany Downs,Auckland,Building D,Botany Town Centre,15 Park Way,East Tamaki,2010,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,271-0861,R,Y,A
01,0226,010226,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,527-2680,R,Y,A
01,0234,010234,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 1393,Wellington,,,6140,New Zealand,,0800 269 296,,R,Y,A
01,0235,010235,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,576-0444,R,Y,A
01,0236,010236,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,373-5860,R,Y,A
01,0242,010242,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,525-4127,R,Y,A
01,0244,010244,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 1393,Wellington,,,6011,New Zealand,(09),0800 269 296,833-0416,R,Y,A
01,0249,010249,,ANZ Bank New Zealand,Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 1393,Wellington,,,,New Zealand,,0800 269 296,,R,Y,A
01,0258,010258,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,522-4003,R,Y,A
01,0262,010262,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,1071,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,575-7572,R,N,A
01,0270,010270,,ANZ Bank New Zealand,St Lukes Mall,Auckland,80 St Lukes Road,"Shop 529, Westfield St Lukes",Mt Albert,,1025,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,845-7409,R,Y,A
01,0274,010274,,ANZ Bank New Zealand,ANZ Retail,,170 Featherston Street,Wellington,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,489-8467,R,Y,A
01,0277,010277,,ANZ Bank New Zealand,Albany 2,Auckland,15 Mercari Way,Albany,,,0632,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,414-2651,R,Y,A
01,0281,010281,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 1393,,Wellington,,,New Zealand,,0800 269 296,,R,Y,A
01,0286,010286,,ANZ Bank New Zealand,Takanini,Auckland,230 Great South Road,Takanini,,,2112,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,298-2580,R,Y,A
01,0288,010288,,ANZ Bank New Zealand,Waiheke Island,Auckland,Corner Oue Street And,Ocean View Road,Oneroa,,1081,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,372-8776,R,Y,A
01,0295,010295,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 1393,Wellington,,,6140,New Zealand,,0800 269 296,,R,Y,A
01,0297,010297,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,302-1873,R,Y,A
01,0298,010298,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(07),0800 269 296,549-1961,R,Y,A
01,0302,010302,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(07),0800 269 296,827-7944,R,Y,A
01,0307,010307,,ANZ Bank New Zealand,Dargaville,Dargaville,107 Victoria Street,,,,0310,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,439-6325,R,Y,A
01,0310,010310,,ANZ Bank New Zealand,Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(07),0800 269 296,402-7679,R,Y,A
01,0311,010311,,ANZ Bank New Zealand,Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 1393,Wellington,,,,New Zealand,,0800 269 296,,R,Y,A
01,0315,010315,,ANZ Bank New Zealand,Hamilton,Hamilton,334 Victoria Street,,,,3204,,New Zealand,PO Box 18,Shortland Street,,,1140,New Zealand,(07),0800 269 296,834-3369,R,Y,A
01,0321,010321,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 1393,Wellington,,,6140,New Zealand,,0800 269 296,,R,Y,A
01,0322,010322,,ANZ Bank New Zealand,Tauranga Crossing,Tauranga,2 Taurikura Drive,Tauranga,,,3110,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(07),0800 269 296,577-9295,R,Y,A
01,0325,010325,,ANZ Bank New Zealand,Northwood,Auckland,1 Radcliffe Road,Northwood Supa Centa,Belfast,,8051,,New Zealand,PO Box 336,Christchurch,,,8140,New Zealand,(03),0800 269 296,298-2580,R,Y,A
01,0327,010327,,ANZ Bank New Zealand,Frankton 2,Hamilton,117 Commerce Street,,,,,,New Zealand,PO Box 5071,Frankton,Hamilton,,,New Zealand,(07),0800 269 296,846-1986,R,Y,A
01,0330,010330,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(07),0800 269 296,828-6102,R,Y,A
01,0331,010331,,ANZ Bank New Zealand,Kerikeri 2,Kerikeri,Kerikeri Road,,,,,,New Zealand,PO Box 122,Kerikeri,,,,New Zealand,(09),0800 269 296,407-7724,R,Y,A
01,0338,010338,,ANZ Bank New Zealand,Kaitaia,Kaitaia,107-109 Commerce Street,,,,0410,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,408-1112,R,Y,A
01,0349,010349,,ANZ Bank New Zealand,Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(07),0800 269 296,323-4044,R,Y,A
01,0353,010353,,ANZ Bank New Zealand,Kaitaia,Kaitaia,107-109 Commerce Street,,,,,,New Zealand,PO Box 243,Kaitaia,,,,New Zealand,(09),0800 269 296,408-1112,R,Y,A
01,0354,010354,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,267-2686,R,Y,A
01,0362,010362,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(07),0800 269 296,888-5834,R,Y,A
01,0367,010367,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(07),0800 269 296,889-5807,R,Y,A
01,0370,010370,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,6011,,New Zealand,PO Box 1393,Wellington,,,6140,New Zealand,(04),0800 269 296,,R,Y,A
01,0373,010373,,ANZ Bank New Zealand,Mount Maunganui,Tauranga,110-114 Maunganui Road,,,,3116,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(07),0800 269 296,575-5756,R,Y,A
01,0381,010381,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,426-5655,R,Y,A
01,0382,010382,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,6011,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,407-7724,R,Y,A
01,0387,010387,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,6011,,New Zealand,PO Box 1393,,Wellington,,,New Zealand,,0800 269 296,,R,Y,A
01,0391,010391,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(07),0800 269 296,873-7428,R,Y,A
01,0395,010395,,ANZ Bank New Zealand,Paeroa,Paeroa,3 Princes Street,,,,3600,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(07),0800 269 296,862-6340,R,Y,A
01,0398,010398,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,6011,,New Zealand,PO Box 1393,Wellington,,,6140,New Zealand,(09),0800 269 296,,R,Y,A
01,0403,010403,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,6011,,New Zealand,PO Box 1393,Wellington,,,6140,New Zealand,,0800 269 296,,R,Y,A
01,0414,010414,,ANZ Bank New Zealand,Rotorua Mall,Rotorua,1128 Amohau St,,,,3010,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(07),0800 269 296,349-8516,R,Y,A
01,0422,010422,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 1393,Wellington,,,6140,New Zealand,,0800 269 296,,R,Y,A
01,0425,010425,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,6011,,New Zealand,PO Box 1393,,Wellington,,,New Zealand,,0800 269 296,,R,Y,A
01,0427,010427,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(07),0800 269 296,378-3800,R,Y,A
01,0434,010434,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(07),0800 269 296,578-1004,R,Y,A
01,0438,010438,,ANZ Bank New Zealand,Karori,Wellington,260 Karori Road,Karori,,,6021,,New Zealand,PO Box 1393,Wellington,,,6021,New Zealand,(07),0800 269 296,,R,Y,A
01,0439,010439,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(07),0800 269 296,871-3576,R,Y,A
01,0447,010447,,ANZ Bank New Zealand,Te Kuiti,Te Kuiti,101 Rora Street,,,,3910,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(07),0800 269 296,878-7339,R,Y,A
01,0450,010450,,ANZ Bank New Zealand,Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 1393,Wellington,,,,New Zealand,(07),0800 269 296,849-0413,R,Y,A
01,0451,010451,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(07),0800 269 296,573-4991,R,Y,A
01,0455,010455,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(07),0800 269 296,868-7919,R,Y,A
01,0461,010461,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(07),0800 269 296,886-8657,R,Y,A
01,0467,010467,,ANZ Bank New Zealand,Rotorua,Rotorua,Cnr Amohia and Hinemoa Sts,,,,,,New Zealand,PO Box 1242,Rotorua,,,,New Zealand,(07),0800 269 296,349-8516,R,Y,A
01,0475,010475,,ANZ Bank New Zealand,Bayfair,Tauranga,Cnr Girven and Maunganui Roads,"Shop 307, Bayfair Shopping Mall",Bayfair,,3116,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(07),0800 269 296,575-2631,R,Y,A
01,0482,010482,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,425-7043,R,Y,A
01,0486,010486,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(07),0800 269 296,308-8504,R,Y,A
01,0487,010487,,ANZ Bank New Zealand,Whangarei,Whangarei,16-20 Rathbone Street,,,,0110,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,(09),0800 269 296,438-6517,R,Y,A
01,0495,010495,,ANZ Bank New Zealand,NorthWest,Auckland,1-7 Fred Taylor Drive,NorthWest Shopping Centre,Westgate,,0814,,New Zealand,PO Box 18,Shortland Street,Auckland,,1140,New Zealand,,0800 269 296,,R,Y,A
01,0504,010504,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 1393,Wellington,,,6140,New Zealand,(04),0800 269 296,387-8684,R,Y,A
01,0505,010505,,ANZ Bank New Zealand,Wellington,Wellington,215 Lambton Quay,,,,6011,,New Zealand,PO Box 1393,Wellington,,,6140,New Zealand,(04),0800 269 296,496-8537,R,Y,A
01,0509,010509,,ANZ Bank New Zealand,Victoria St Central,Wellington,125 Victoria St,,,,,,New Zealand,PO Box 11448,Wellington,,,,New Zealand,(04),0800 269 296,473-8253,R,Y,A
01,0514,010514,,ANZ Bank New Zealand,Christchurch SPB Branch,Christchurch,97 Riccarton Road,,,,,,New Zealand,,,,,,New Zealand,,0800 269 296,473-8253,R,Y,A
01,0517,010517,,ANZ Bank New Zealand,Courtenay Place,Wellington,60 - 64 Courtenay Place,Co-located with NBNZ Courtney Place,,,6011,,New Zealand,PO Box 1393,Wellington,,,6011,New Zealand,(04),0800 269 296,381-9771,R,Y,A
01,0519,010519,,ANZ Bank New Zealand,Johnsonville,Wellington,82 Johnsonville Road,Johnsonville,,,6037,,New Zealand,PO Box 1393,Wellington,,,6140,New Zealand,(04),0800 269 296,478-2999,R,Y,A
01,0527,010527,,ANZ Bank New Zealand,North Lambton Quay,Wellington,86-90 Lambton Quay,,,,6011,,New Zealand,PO Box 1393,Wellington,,,6140,New Zealand,(04),0800 269 296,472-2184,R,Y,A
01,0530,010530,,ANZ Bank New Zealand,Retail,Wellington,170 Featherston Street,,,,,,New Zealand,PO Box 1393,Wellington,,,6140,New Zealand,,0800 269 296,,R,Y,A
01,0533,010533,,ANZ Bank New Zealand,ANZ Retail,Wellington,170 Featherston Street,,,,6011,,New Zealand,PO Box 1393,Wellington,,,6140,New Zealand,(04),0800 269 296,473-8253,R,Y,A
